2020-08-26 07:06 INFO	Connecting to the server...
2020-08-26 07:06 SUCCESS	Connected to server successfully!
2020-08-26 07:07 INFO	GetWebConn -> 845324058 => OK
2020-08-26 07:07 INFO	GroupMsg ->  {'FromGroupId': 959562190, 'FromGroupName': '测试群', 'FromUserId': 2450459910, 'FromNickName': '凤飞翱翔兮丷', 'Content': '赞我', 'MsgType': 'TextMsg', 'MsgTime': 1598450828, 'MsgSeq': 5727, 'MsgRandom': 2033743667, 'RedBaginfo': None}
2020-08-26 07:07 INFO	GroupMsg ->  {'FromGroupId': 959562190, 'FromGroupName': '测试群', 'FromUserId': 845324058, 'FromNickName': '凤飞翱翔兮丷🤖', 'Content': '{"Content":"@凤飞翱翔兮丷 正在赞~~请稍等，大概花费50s左右","UserID":[2450459910]}', 'MsgType': 'AtMsg', 'MsgTime': 1598450830, 'MsgSeq': 5728, 'MsgRandom': 1598450830, 'RedBaginfo': None}
2020-08-26 07:07 INFO	GroupMsg ->  {'FromGroupId': 959562190, 'FromGroupName': '测试群', 'FromUserId': 845324058, 'FromNickName': '凤飞翱翔兮丷🤖', 'Content': '{"Content":"@凤飞翱翔兮丷 \\n今日已赞!","UserID":[2450459910]}', 'MsgType': 'AtMsg', 'MsgTime': 1598450831, 'MsgSeq': 5729, 'MsgRandom': 1598450831, 'RedBaginfo': None}
2020-08-26 07:07 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2225458076, 'FromNickName': '没钱的小峰', 'Content': '降配的分数', 'MsgType': 'TextMsg', 'MsgTime': 1598450833, 'MsgSeq': 525281, 'MsgRandom': 3190668819, 'RedBaginfo': None}
2020-08-26 07:07 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2225458076, 'FromNickName': '没钱的小峰', 'Content': '{"GroupPic":[{"FileId":3020928827,"FileMd5":"JvkHmc8wwEjdy3Xe3gjdFw==","FileSize":895148,"ForwordBuf":"Eip7MjZGOTA3OTktQ0YzMC1DMDQ4LUREQ0ItNzVERURFMDhERDE3fS5wbmciACoEAAAAADJcFTYgOTJrQTEAYjQwZmI3M2I1YmJhZjE3OCAgICAgIDUwICAgICAgICAgICAgICAgIHsyNkY5MDc5OS1DRjMwLUMwNDgtRERDQi03NURFREUwOEREMTd9LnBuZ0E4u+6+oAtA+OLr3QVIUFAAWgBgAWoQJvkHmc8wwEjdy3Xe3gjdF3JbL2djaGF0cGljX25ldy8yMjI1NDU4MDc2LzkyODMwODk2MS0zMDIwOTI4ODI3LTI2RjkwNzk5Q0YzMEMwNDhERENCNzVERURFMDhERDE3LzE5OD90ZXJtPTI1NYIBWS9nY2hhdHBpY19uZXcvMjIyNTQ1ODA3Ni85MjgzMDg5NjEtMzAyMDkyODgyNy0yNkY5MDc5OUNGMzBDMDQ4RERDQjc1REVERTA4REQxNy8wP3Rlcm09MjU1oAHpB7AB3Aq4AZ0GyAGs0TbYAcYB4AFz+gFbL2djaGF0cGljX25ldy8yMjI1NDU4MDc2LzkyODMwODk2MS0zMDIwOTI4ODI3LTI2RjkwNzk5Q0YzMEMwNDhERENCNzVERURFMDhERDE3LzQwMD90ZXJtPTI1NYACgAOIAt8B","ForwordField":8,"Url":"http://gchat.qpic.cn/gchatpic_new/2225458076/928308961-2534335053-26F90799CF30C048DDCB75DEDE08DD17/0?vuin=845324058\\u0026term=255\\u0026pictype=0"}],"Tips":"[群图片]"}', 'MsgType': 'PicMsg', 'MsgTime': 1598450836, 'MsgSeq': 525282, 'MsgRandom': 32704275, 'RedBaginfo': None}
2020-08-26 07:07 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2741292486, 'FromNickName': 'da', 'Content': '{"GroupPic":[{"FileId":2881060664,"FileMd5":"J/42Zlbi6TYri3FTjMAIng==","FileSize":429259,"ForwordBuf":"EiQyN0ZFMzY2NjU2RTJFOTM2MkI4QjcxNTM4Q0MwMDg5RS5naWYyVhU2IDg2ZUExQmFiYjk3ZjM4YjcwM2UxM2EgICAgICA1MDdkY25iVGlBMllhek1GdGcyN0ZFMzY2NjU2RTJFOTM2MkI4QjcxNTM4Q0MwMDg5RS5naWZBOLj+5d0KQLrCj7gLSFBQQloQN2RjbmJUaUEyWWF6TUZ0Z2ABahAn/jZmVuLpNiuLcVOMwAieclsvZ2NoYXRwaWNfbmV3LzI3NDEyOTI0ODYvOTI4MzA4OTYxLTI4ODEwNjA2NjQtMjdGRTM2NjY1NkUyRTkzNjJCOEI3MTUzOENDMDA4OUUvMTk4P3Rlcm09MjU1ggFZL2djaGF0cGljX25ldy8yNzQxMjkyNDg2LzkyODMwODk2MS0yODgxMDYwNjY0LTI3RkUzNjY2NTZFMkU5MzYyQjhCNzE1MzhDQzAwODlFLzA/dGVybT0yNTWgAdAPsAFxuAFtwAFnyAHLmRrQAQDYAXHgAW3oAQDwAQD6AVsvZ2NoYXRwaWNfbmV3LzI3NDEyOTI0ODYvOTI4MzA4OTYxLTI4ODEwNjA2NjQtMjdGRTM2NjY1NkUyRTkzNjJCOEI3MTUzOENDMDA4OUUvNDAwP3Rlcm09MjU1gAJxiAJtkgIcCAEQABgAMgBKDlvliqjnlLvooajmg4VdUAB4BQ==","ForwordField":8,"Url":"http://gchat.qpic.cn/gchatpic_new/2741292486/928308961-2534335053-27FE366656E2E9362B8B71538CC0089E/0?vuin=845324058\\u0026term=255\\u0026pictype=0"}],"Tips":"[群图片]"}', 'MsgType': 'PicMsg', 'MsgTime': 1598450845, 'MsgSeq': 525283, 'MsgRandom': 729634015, 'RedBaginfo': None}
2020-08-26 07:07 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2741292486, 'FromNickName': 'da', 'Content': '我没莫石石倒是 辅助有了', 'MsgType': 'TextMsg', 'MsgTime': 1598450851, 'MsgSeq': 525284, 'MsgRandom': 1609735405, 'RedBaginfo': None}
2020-08-26 07:08 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2741292486, 'FromNickName': 'da', 'Content': '这顶分我赌五毛不是鸭子的', 'MsgType': 'TextMsg', 'MsgTime': 1598450887, 'MsgSeq': 525285, 'MsgRandom': 1552114119, 'RedBaginfo': None}
